item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10536736,柴米油盐,3.0,0.0,7.2,7.2,7.2,1 条点评,湘菜 , 桃园路 涪华路23号,104.7237420774489,31.49555542709224
10536739,一点味犹可涮吧(绵阳新世界店),3.0,0.0,7.2,7.6,7.4,52 条点评,火锅 , 新世界百货 临园路东段72号新世界百货5楼,104.7237420774489,31.49555542709224
10536750,眼哥面馆,3.0,0.0,6.8,6.7,6.8,3 条点评,小吃面食 , 新世界百货 富乐路7-5号,104.7237420774489,31.49555542709224
10536759,怪味抄手,3.0,0.0,7.3,6.9,6.9,2 条点评,小吃面食 , 新世界百货 成绵路3-5号,104.7237420774489,31.49555542709224
10536766,幸福滋味,3.0,0.0,7.0,7.0,7.0,1 条点评,面包甜点 , 凯德广场 剑门路东段13号,104.7237420774489,31.49555542709224
10536768,南山大盘鸡,3.0,0.0,7.8,7.7,7.6,7 条点评,新疆菜 , 南山 南塔路1段,104.7237420774489,31.49555542709224
10536775,星期八,3.0,0.0,7.2,7.2,7.2,3 条点评,烧烤 , 南湖 六一堂路669号,104.7237420774489,31.49555542709224
10536779,百味鲜,3.0,0.0,7.0,7.0,7.0,1 条点评,江浙菜 , 南湖 六一堂路669-7号,104.7237420774489,31.49555542709224
10536785,滋味面馆,3.0,0.0,7.5,7.4,7.5,2 条点评,小吃面食 , 南湖 南湖街,104.7237420774489,31.49555542709224
10536787,爱达乐(汉城店) 分店,4.0,0.0,8.4,8.4,8.5,78 条点评,面包甜点 , 沿江路 汉城社区居委会综合楼,104.7237420774489,31.49555542709224
10536793,弯弯肥肠馆,3.0,0.0,7.5,6.8,6.7,5 条点评,川菜 , 南湖 南湖街,104.7237420774489,31.49555542709224
10536812,野火烧烤庄,3.0,0.0,6.8,6.9,6.8,2 条点评,烧烤 , 南河 体运村路80-7号,104.7237420774489,31.49555542709224
10536817,老巷子马家巷鲜兔火锅,3.0,0.0,7.1,7.0,7.0,3 条点评,火锅 , 南河 文昌街5-7号,104.7237420774489,31.49555542709224
10536838,朋朋中江面,3.0,0.0,7.4,6.9,7.1,3 条点评,小吃面食 , 马家巷 孙家巷4-18号,104.7237420774489,31.49555542709224
10536845,三木食神涮烤烤鱼,3.0,0.0,6.5,6.6,6.7,2 条点评,川菜 , 南河 体运村路18-2号,104.7237420774489,31.49555542709224
10536854,回头香烧烤,3.0,0.0,7.0,6.9,6.9,1 条点评,烧烤 , 南河 文昌街2-6号,104.7237420774489,31.49555542709224
10536865,富顺豆花饭,3.0,0.0,6.8,6.3,6.6,2 条点评,川菜 , 南河 文兴街29号,104.7237420774489,31.49555542709224
10536876,茶尼斯堤(马家巷店),4.0,0.0,8.4,8.3,8.2,61 条点评,面包甜点 , 马家巷 马家巷11-7号,104.7237420774489,31.49555542709224
10536882,百林川菜,3.0,0.0,7.3,6.6,6.8,1 条点评,川菜 , 步行街 翠花街4-25号,104.7237420774489,31.49555542709224
